S.No	Product Name	Category	Weight	Price (₹)	Description	Status
1	Salty Fish	Canned Fish & Dry Fish	150gm	100	Salty fish is rich in Omega-3 fatty acids, protein, vitamins, minerals, and dietary fiber.	Available
2	Sardines in Tomato	Canned Fish & Dry Fish	400gm	120	Healthy sardines in tomato sauce packed with Omega-3, protein, vitamins, and minerals.	Available
3	Mackerel in Brine & Oil	Canned Fish & Dry Fish	400gm	150	Premium mackerel preserved in brine and oil for fresh taste and quality.	Available
4	Sardine in Tomato	Canned Fish & Dry Fish	155gm	60	Delicious sardines in tomato sauce.	Available
5	Tuna Sea Crown	Canned Fish & Dry Fish	400gm	150	Premium canned tuna suitable for meals and salads.	Available
6	Dry Prawns	Canned Fish & Dry Fish	30gm	100	Premium quality dried prawns for traditional recipes.	Available
7	Phabou Nga	Canned Fish & Dry Fish	50gm	100	Traditional dried fish product.	Available
8	Dry Bombay Duck	Canned Fish & Dry Fish	80gm	100	Authentic dried Bombay Duck with rich flavor.	Available
9	Muka Fish Dry	Canned Fish & Dry Fish	30gm	100	Premium dried Muka fish.	Available
10	Dry Fish Nagaland	Canned Fish & Dry Fish	40gm	100	Traditional Nagaland-style dried fish.	Available
11	Fresh Bamboo Shoot in Can	Canned Fish & Dry Fish	560gm	200	Crisp bamboo shoots with mild flavor, perfect for stir-fries, soups, and Asian dishes.	Available
12	Sardines in Brine & Oil	Canned Fish & Dry Fish	400gm	120	Rich source of protein, Omega-3, Vitamin B12, and Vitamin D.	Currently Unavailable
13	Suri Fish Dry	Canned Fish & Dry Fish	150gm	100	Premium dried Suri fish.	Currently Unavailable
14	Sardine in Tomato	Canned Fish & Dry Fish	200gm	80	Sardines in tomato sauce.	Currently Unavailable
15	Sardines in Tomato Sauce A1 Star	Canned Fish & Dry Fish	N/A	60	Premium sardines in tomato sauce.	Currently Unavailable
S.No	Product Name	Category	Weight/Volume	Price (₹)	Description	Status
1	Shark Energy Drink	Cold Drinks	N/A	120	Refreshing energy drink formulated to provide an instant energy boost and improved alertness.	Available
2	Veve Lychee	Cold Drinks	260ml	80	Lychee juice drink with pulp. Contains Vitamin C, sucrose, citric acid, sodium benzoate, and natural lychee flavor. Refreshing and fruity.	Available
3	Veve Tamarind	Cold Drinks	N/A	80	Refreshing tamarind-flavored beverage with a sweet and tangy taste.	Available
4	Red Bull Myanmar	Cold Drinks	N/A	120	Popular energy drink designed to increase energy, focus, and endurance.	Available
S.No	Product Name	Category	Size/Specification	Price (₹)	Description	Status
1	Wooden Mortar and Pestle (Nagaland Craft)	Cookware & Handicrafts	N/A	700	Handmade wooden mortar and pestle from Northeast India, ideal for making traditional chutneys and spice pastes.	Available
