S.No,Product Name,Category,Weight/Specification,Price (?),Description,Status
1,King Chili Dry,Dry Vegetables,Per Packet,100,"World's spiciest chili, commonly known as King Chili or Ghost Pepper.",Available
2,Split Gill Mushroom Dry,Dry Vegetables,30gm,100,"Naturally dried wild mushroom, low in calories and rich in flavor.",Available
3,Eurya Acuminata (Sijou) Dry,Dry Vegetables,N/A,50,Traditional Kuki dried vegetable.,Available
4,Beans Seeds (Bekungbul Mu),Dry Vegetables,500gm,150,Traditional Naga dal made from dried bean seeds.,Available
5,Parkia Yongchak Seeds,Dry Vegetables,120gm,100,Stinky bean seeds widely used in Northeast Indian cuisine.,Available
6,Sichuan / Michinga / Singjol Peppers,Dry Vegetables,20gm,50,Aromatic pepper used as a strong spice for meat dishes.,Available
7,Sun-Dried Bamboo Shoot,Dry Vegetables,70gm,150,Traditional dried bamboo shoot used mainly in non-vegetarian cooking.,Available
8,Taro Leaf Dry,Dry Vegetables,N/A,50,Naturally dried taro leaves for traditional recipes.,Available
9,Naga Gundruk Dry Mustard Leaf,Dry Vegetables,100gm,150,Fermented and dried mustard leaves popular in Northeast India.,Available
10,Sesame Seeds (Black),Dry Vegetables,100gm,70,Premium black sesame seeds for cooking and seasoning.,Available
11,Anishi,Dry Vegetables,3 Cakes,150,Traditional fermented yam leaf cakes from Nagaland.,Available
12,Perilla Seeds (Brown) (Thoiding),Dry Vegetables,100gm,100,Brown perilla seeds used in traditional Northeast Indian dishes.,Available
13,Oyster Mushroom Dry,Dry Vegetables,N/A,150,Premium dried oyster mushrooms for soups and stir-fries.,Available
14,Sesame Seeds (White),Dry Vegetables,100gm,100,Premium white sesame seeds for cooking and baking.,Available
15,Citrus Latipes (Sat-kora / Heiribob),Dry Vegetables,35gm,50,Sun-dried citrus peel used to tenderize meat and enhance flavor.,Available
16,Kolar White Rajma (Nagaland),Dry Vegetables,500gm,150,Premium white kidney beans from Nagaland.,Available
17,Dry Yam Stem,Dry Vegetables,N/A,150,Traditional dried yam stem used in regional dishes.,Available
18,Dry Roselle Flower,Dry Vegetables,Per Packet,100,"Naturally dried Roselle flowers for tea, sauces, and traditional recipes.",Available
19,King Chili Flakes (Pure),Dry Vegetables,60gm,200,Pure King Chili flakes with intense heat and flavor.,Available
20,Northeast Chili Flakes (Malcha Te),Dry Vegetables,100gm,100,Medium-spicy chili flakes from Northeast India.,Available
21,Bay Leaf (Tez Pata),Dry Vegetables,N/A,50,"Aromatic bay leaves for curries, biryanis, and stews.",Available
22,Aijung Puleiman Spicy Roots Dry,Dry Vegetables,N/A,50,Traditional dried spicy roots used as seasoning.,Available
23,Nongmankha / Kollhoupah Dry,Dry Vegetables,Per Packet,50,Traditional bitter dried vegetable.,Available
24,Jelly Mushroom Dry,Dry Vegetables,30gm,100,Premium dried jelly mushrooms for soups and stir-fries.,Available
25,Mountain Pepper Dry,Dry Vegetables,25gm,50,Naturally dried mountain pepper used as a spice.,Available
26,Perilla Seeds (White) (Thoiding),Dry Vegetables,100gm,100,White perilla seeds commonly used in Northeast Indian cuisine.,Available
27,Sinki Gundruk Mulla,Dry Vegetables,60gm,100,Traditional fermented and dried radish product.,Available
28,Sticky Red Pumpkin,Dry Vegetables,Per Kg,200,Fresh sticky red pumpkin suitable for traditional cooking.,Available
29,Nepali Gundruk,Dry Vegetables,70gm,100,Traditional fermented dried leafy vegetable from Nepal.,Available
30,Elsholtzia Griffithii (Lomba / Lengmasel) Dry,Dry Vegetables,N/A,50,Traditional dried aromatic herb.,Currently Unavailable
31,Green Pea,Dry Vegetables,500gm,85,Premium green peas.,Currently Unavailable
32,Rajma,Dry Vegetables,500gm,90,Premium kidney beans.,Currently Unavailable
33,White Pea,Dry Vegetables,500gm,85,Premium dried white peas.,Currently Unavailable
34,Timbur / Mukthrubi / Lingnamse Seeds,Dry Vegetables,22gm,50,Traditional aromatic spice seeds from Northeast India.,Currently Unavailable
35,Dry Bamboo Shoot (Manipur),Dry Vegetables,80gm,100,Traditional dried bamboo shoots from Manipur.,Currently Unavailable
36,Shiitake Mushroom (Village Mushroom),Dry Vegetables,30gm,100,Premium dried village shiitake mushrooms.,Currently Unavailable
37,Dried Culantro,Dry Vegetables,N/A,50,Dried aromatic herb used for seasoning and flavoring dishes.,Currently Unavailable
